country,lon,lat
Polska,19.145136,51.919438
United States,-95.712891,37.09024
United Kingdom,-3.435973,55.378051
Yisra'el,-87.7669191,42.0889159
Deutschland,10.451526,51.165691
Italia,12.56738,41.87194
Argentina,-63.61667199999999,-38.416097
Schweiz,8.227511999999999,46.818188
Suomi,-93.7413194,47.4832793
Zhonghua,-92.15948069999999,46.7450725
Türkiye,35.243322,38.963745
Al-‘Iraq,43.679291,33.223191
België,4.469936,50.503887
Rossiya,105.318756,61.52401
France,2.213749,46.227638
Malaysia,101.975766,4.210484
Nederland,-105.5108312,39.9613759
Portugal,-8.224454,39.39987199999999
Solothurn,7.532291,47.2088348
México,-102.552784,23.634501
España,-3.74922,40.46366700000001
Perú,-75.015152,-9.189967
Brasil,-51.92528,-14.235004
Ukrayina,31.1655799,48.379433
Îran,53.688046,32.427908
Venezuela,-66.58973,6.42375
Pakistan,69.34511599999999,30.375321
Nihon,138.252924,36.204824
Viet Nam,108.277199,14.058324
România,24.96676,45.943161
Australia,133.775136,-25.274398
Al-Jaza'ir,1.659626,28.033886
Canada,-106.346771,56.130366
Al-Lubnan,35.862285,33.854721
Sverige,18.643501,60.12816100000001
Éire,-7.692053599999999,53.1423672
Braintree,-87.63547179999999,41.888461
Österreich,14.550072,47.516231
Jugoslavija,20.4201481,44.8295445
South Africa,22.937506,-30.559482
Bosna i Hercegovina,17.679076,43.915886
Slovenija,14.995463,46.151241
Uganda,32.290275,1.373333
Barbados,-59.543198,13.193887
Egremont,-73.4415929,42.1777247
Norge,8.468945999999999,60.47202399999999
Auteuil,2.2663003,48.8490552
Schlesien,7.23135,50.69614
Ceská Republika,15.472962,49.81749199999999
Bharat,-122.023138,37.587318
New Zealand,174.885971,-40.900557
Kensington,-75.1179823,39.9934039
Guyana,-58.93018,4.860416
Cuba,-77.781167,21.521757
Liverpool,-115.4763241,32.6564981
Ellás,21.824312,39.074208
Colombia,-74.297333,4.570868
Latvija,24.603189,56.879635
Belarus,27.953389,53.709807
Charlieu,4.172521,46.159599
Bulgaria,25.48583,42.733883
Magyarország,19.5033041,47.162494
Danmark,9.501785,56.26392
London,-0.1277583,51.5073509
Chile,-71.542969,-35.675147
Makedonija,21.745275,41.608635
Plymouth,-70.6672621,41.9584457
Misr,30.802498,26.820553
As-Sudan,30.217636,12.862807
Eesti,25.0136071,58.595272
Perth,115.8604572,-31.9505269
Jamaica,-77.297508,18.109581
Cameroun,12.354722,7.369721999999999
Slovenská Republika,19.699024,48.669026
Bénin,2.315834,9.30769
Singapore,103.819836,1.352083
Epsom,-0.267382,51.336036
Armenia,45.038189,40.069099
Hrvatska,15.2000001,45.1
Wimbledon,-98.4598177,47.1697143
Bahamas,-77.39627999999999,25.03428
Blackheath,-83.13446789999999,42.7515637
Myanmar,95.955974,21.916221
Indonesia,113.921327,-0.789275
Tanzania,34.888822,-6.369028
Bangladesh,90.356331,23.684994
Bermondsey,-0.0652005,51.49226549999999
Tunis,10.1815316,36.8064948
Douglas,-93.4005206,44.8734988
Taehan Min'guk,127.766922,35.907757
Moldova,28.369885,47.411631
Zimbabwe,29.154857,-19.015438
Saint Hélier,-2.103233,49.1805019
Mauritius,57.55215200000001,-20.348404
Choson Minjujuui In'min Konghwaguk,NA,NA
Isle of Man,-4.548056,54.236107
Sri Lanka,80.77179699999999,7.873053999999999
Chung-hua Min-kuo,NA,NA
Lietuva,23.881275,55.169438
Stoke on Trent,-2.179404,53.002668
Luxembourg,6.129582999999999,49.815273
Stockholm,18.0685808,59.32932349999999
Suriyah,-72.92234309999999,41.3163244
Ísland,-93.73213779999999,36.4853478
Pilipinas,121.774017,12.879721
Costa Rica,-83.753428,9.748916999999999
Kenya,37.906193,-0.023559
Melmerby,-2.5994201,54.731336
Nigeria,8.675277,9.081999
Beckington,-2.2870732,51.2652812
Lao,102.495496,19.85627
Malta,14.375416,35.937496
Charlotte Amalie,-64.9307007,18.3419004
Bristol,-2.58791,51.454513
Niederschlesien,16.8841961,51.13398609999999
Panamá,-80.782127,8.537981
Montserrat,-62.187366,16.742498
Shqipëria,20.168331,41.153332
Nicaragua,-85.207229,12.865416
Staten Island,-74.1502007,40.5795317
Edinburgh,-3.188267,55.953252
Hertfordshire,-0.2376744,51.80978229999999
Rochdale,-2.1561,53.6097136
Canterbury,1.0789089,51.280233
Prathet Thai,100.992541,15.870032
Samoa,-172.104629,-13.759029
Zambia,27.849332,-13.133897
